0ad	古代战争即时策略游戏
canonical-doc-utils	使用规范文档存储库的工具
canonical-livepatch	Canonical Livepatch 客户端
canonical-livepatch-server	Livepatch 规范服务器
canonical-se-engineering-tests	规范系统激活工程测试用例
cantara	一款音乐演示软件
canta-themes	演唱 GTK 和 GTK Snap 的图标主题
cantor	数学软件的 KDE 前端
canvasync	用于下载和查看 Canvas 数据的 CLI
caprice32	Amstrad CPC 模拟器
caprine	山羊
caprine-dusan	山羊
capturegrid4	CaptureGRID 4 多相机网络共享应用程序
carbon-player	美丽时尚的媒体播放器
carcassonne	卡尔卡松的多人游戏版本
cardapiozap	卡达皮奥扎普
car-distance-finder	多线程车辆跟踪器的示例
careawaretest	概括
cariddi	快速网络跟踪器和扫描仪
car-maintenance	汽车保养
carnet	功能强大的笔记应用程序，带有同步功能、在线编辑器和 Android 应用程序
carnival-jackpot	动作游戏
carnival-jackpot-extreme	动作游戏
carrier-command	经典即时战略游戏《航母指挥》
cascade-app	模拟 // 发现 // 影响
caselist	立即下载适合您案件的先例。
cashbox-nextcloud	www.cashBOX.plus 的 Nextcloud 服务器
casino-sim-95-language-selectable	Casino-sim-95-可选语言
cass	数据库图形用户界面
castersoundboard	用于热键和声音播放的音板。 （用于播客）
cast-web-api	控制您的 Google Cast 设备。
cataclysmdda	Cataclysm: Dark Days Ahead 是一款以末日后世界为背景的回合制生存游戏。
cataclysm	后世界末日生存 Roguelike
cat-say	无用的 cli 工具，一只猫重复你所说的话
cavalier	使用 CAVA 可视化音频
cavoke	Cavoke网络游戏
cawbird	Cawbird Twitter 客户端（Corebird 分叉）
cbeams	一个 CLI 程序，可以在终端中绘制精美的动画彩色圆圈。
cbetar2	电子佛典
cbj-hub	通过一个应用程序控制来自不同供应商的智能设备的集线器。
ccache	快速 C/C++ 编译器缓存
cclite	ComputerCraft 模拟器
ccls	C/C++/ObjC 语言服务器
ccomixmanager	C、GTK 和 mariadb 管理
cncra2yr	《命令与征服红色警戒2尤里的复仇》是一款即时战略游戏。
cncra	《命令与征服：红色警戒》是一款即时战略游戏。
cnctsun	《命令与征服：泰伯利亚之日》是一款即时战略游戏。
cctv-viewer	查看器和汇编器视频流
cdbc	C 库，为 ODBC API 提供简单、易于使用的接口
cdcat-catalog	媒体目录计划
cdk-addon-mod	规范 Kubernetes 发行版的附加组件
cdk-addons	规范 Kubernetes 的附加组件
cdrom	🎵 CDROM 爱
cecconoid	一款老式的 8 位双摇杆射击游戏，带有动态屏幕......
celebrations-mahjong	一款简单又有趣的麻将接龙游戏
celeste	在云端同步您的文件
celluloid	适用于 MPV 的简单 GTK+ 前端。
celtx	多合一脚本编写应用程序
centipede	经典街机游戏
certbot	使用 Let's Encrypt 自动配置 HTTPS
certbot-dns-aliyun	Certbot 插件 Aliyun DNS Authenticator
certbot-dns-azure	Azure 的 Certbot 的 Autenticador DNS 插件
certbot-dns-bunny	Certbot 插件 Bunny.net DNS 验证器
certbot-dns-cloudflare-cname	DNS 验证器 Cloudflare com 支持 CNAME。
certbot-dns-cloudflare	Certbot 插件 Cloudflare DNS Authenticator
certbot-dns-cloudxns	Certbot 插件 CloudXNS DNS Authenticator
certbot-dns-constellix	Constellix 的插件 Certbot DNS
certbot-dns-digitalocean	Certbot 插件 DigitalOcean DNS Authenticator
certbot-dns-dnsimple	Certbot 的 DNSimple Autenticador DNS 插件
certbot-dns-dnsmadeeasy	插件 DNS Made Easy DNS Authenticator para Certbot
certbot-dns-dnspod	Certbot 插件 DNSPod DNS 验证器
certbot-dns-duckdns	Certbot 插件 DuckDNS Authenticator
certbot-dns-gehirn	Certbot 插件 Gehirn 基础设施服务 DNS 身份验证器
certbot-dns-google	Certbot 插件 Google Cloud DNS 身份验证器
certbot-dns-hetzner	Certbot 插件 Hetzner DNS Authenticator
certbot-dns-inwx	Certbot 插件 INWX DNS Authenticator
certbot-dns-linode	Certbot 插件 Linode DNS Authenticator
certbot-dns-luadns	Certbot 插件 LuaDNS Autenticador
certbot-dns-multi	插件 Certbot DNS com 支持各种验证者
certbot-dns-netcup	Netcup 插件 Certbot DNS 验证器
certbot-dns-njalla	适用于 Certbot 的 Njalla DNS 身份验证器插件
certbot-dns-nsone	适用于 Certbot 的 NS1 DNS 身份验证器插件
certbot-dns-ovh	适用于 Certbot 的 OVH DNS 身份验证器插件
certbot-dns-rfc2136	适用于 Certbot 的 RFC 2136 DNS 身份验证插件
certbot-dns-route53	适用于 Certbot 的 Route53 DNS 身份验证器插件
certbot-dns-sakuracloud	适用于 Certbot 的 Sakura Cloud DNS 身份验证器插件
certbot-dns-standalone	Certbot 的独立 DNS 身份验证插件
certbot-standalone-nfq	Certbot HTTP 身份验证器可与任何 Web 服务器配合使用。
cert-checker	检查网站证书的有效性
certstream	Certstream-Python
c-evo	一款回合制帝国建设游戏，灵感源自游戏《文明 II》。
cf-bbl	Bosh 引导加载程序命令行界面
cf-bs	BOSH CLI v2+
cf-ch	CredHub CLI 提供用于与 CredHub 服务器交互的命令行界面
cf-cli	Cloudfoundry CLI
cfn-flip	在 JSON 和 YAML 格式之间转换 AWS CloudFormation 模板。
cfn-format	设置 AWS CloudFormation 模板的格式。
cfn-skeleton	生成骨架 AWS CloudFormation 模板。
cgoban1	CGoban1 为 Unix 和 X11 提供了大量与 Go 相关的服务。
chalk	Redmine 时间追踪器
chameleon	变色龙引擎
champ	Plex 第二屏幕阅读器
championship-spades	剑的游戏
changeln	从 git 标签生成变更日志
changelog	即使在大型项目中也可以使用 CLI 创建和管理变更日志
channel-refresh-test	检测源代码中的非包含性语言
test-channels	每个通道上都有不同版本的测试快照
chaoban	Chương trình in giữa màn hình dòng chữ Chao ban ten_ban
charlyoleg-pipapo	查理约勒格-皮帕波
charm-config	Charm snap 插件用于查看商店中超级按钮的配置。
charmcraft	迷人的工具
charm	魅力工具
charmed-openstack-upgrader	Charmed OpenStack 升级自动化工具
chartgeany	技术分析软件
chatgpt-desktop	随时随地访问 ChatGPT！
chatgpt-electron	ChatGPT 的 Electron 应用程序
chatminal	查特米纳尔
cheat	cheat 允许您从命令行创建和查看交互式备忘单。
checkbox16	复选框运行时和公共提供程序
checkbox18	复选框运行时和公共提供程序
checkbox20	复选框运行时和公共提供程序
checkbox22	复选框运行时和公共提供程序
checkbox-desktop-snaps	用于测试桌面快照的复选框测试
checkbox	复选框测试运行程序
checkbox-kivu-classic	Kivu Classic 项目的复选框测试
checkbox-mir	Mir 项目的复选框测试
checkbox-plano-classic	Plano 经典项目的复选框测试运行器
checkbox-provider-tools	复选框提供者工具
checkbox-tpu-tools	使用 TPU 的简单测试快照
check-journal	用于journalctl的Nagios/Icinga兼容插件
check-sieve	邮件筛选器的语法检查器
checkson	用于与 checkson.io 交互的命令行界面
checksum-validator	校验和验证器
cheerlightstree	展示一棵用欢呼灯点亮的圣诞树！
cheese	使用网络摄像头拍摄照片和录制视频，并享受有趣的图形效果
cheminot	课程报名及咨询系统
cherry-dice	角色扮演骰子滚轴
cherrytree	分层笔记应用程序
chessmaster-10th-edition-demo	这个伟大的国际象棋系列的第十版
chess-tactics-and-strategy	国际象棋训练计划。包括战术、开局、结局、谜题等。
chezmoi	安全地管理多台计算机上的点文件。
chiaki	适用于 PlayStation Remote Play 的免费开源客户端
chicken-shoot	小鸡射击
chimpstackr	免费焦点堆叠软件
chinadns	保护自己免受 DNS 中毒
chinese-cal	中国日历
chip8-emulator	CHIP-8 仿真器
chip-tool	芯片工具物质控制器
chirp-snap	CHIRP 是一个免费的开源工具，用于对业余无线电进行编程。
chisurf	荧光数据分析工具
chizuru-testsnap	由 Chizuru S 进行的 snapcraft 测试
chocolate-doom-jdstrand	巧克力末日引擎
chrome-log-beautifier	用于分析 Chrome 日志的交互式终端 UI。
chromeos-themes	GTK Snap 的 ChromeOS GTK 主题
chromium	Chromium 浏览器，Chrome 的开源版本
chromium-ffmpeg	供第三方浏览器 snap 使用的 FFmpeg 编解码器（免费和专有）
chronopsi	EPSI/WIS 学生的临时就业。
chucknorris	查克·诺里斯笑话
chuck-norris-webserver-classic	Chuck Norris 引用 Nodejs 服务器
chuck-norris-webserver	Chuck Norris 引用 Nodejs 服务器
chunk-nordic	HTTP(S) 上的另一个 TCP 隧道。
ci-dice	用于 CI 通过/失败模拟的控制台数据滚动工具
cidr-calc	一个简单的 CIDR 网络计算器，可帮助您计算 IPv4 子网掩码。
circleci	运行本地 CI 构建并验证配置。
circluzzle	圆
cirkit-designer	电路套件设计师
ci-testing	HTTP 文件服务和 URL 缩短器
citra-emu	任天堂 3DS 模拟器
cityhub	城市中心
civo	Civo 云的 CLI
cjp256-openvino-samples	英特尔 OpenVINO 工具套件示例
cjp256-openvino-super-resolution	英特尔 OpenVINO 工具套件超分辨率示例
cjp256-openvino-toolkit-1804	英特尔 OpenVINO 工具套件
ckafka	卡夫卡生产者 CLI
ckan	KSP 自动模组安装程序
ckermit-raymii	C-Kermit 是一个组合的网络和串行通信软件包
claat	Codelabs 命令行工具
cla-check	验证是否已签署 Canonical 贡献者许可协议
clangd	C/C++ IDE 的语言服务器协议实现
clapper	简单而现代的 GNOME 媒体播放器
clari3d-lite-64	欢迎使用 Clari3D Lite 主安装包。
clashcross	ClashCross 是一个基于 Clash 核心构建的代理调试应用程序。
clash	震惊; HDL 的 Haskell 编译器
gpro	管理您的赛车队、车手和赛车，为每场比赛准备设置和策略，分析比赛遥测数据。
csnaketerm	经典的贪吃蛇游戏，直接到您的终端
classic-snap-analyzer	分析经典快照执行的打包问题
classicube	ClassiCube 是与 Minecraft Classic 兼容的自定义客户端
classroom-clock-app	教室时钟应用程序
claws-mail-moon127	爪邮件
clean-filter-for-svg	一个干净的过滤器，用于删除 SVG 中不必要的元数据
cleanpy	用于删除与 Python 相关的缓存文件和临时文件的 CLI 命令
clementine	现代音乐播放器
clera	爆炸你的终端
clever	使用 CLEVER 生成传输流元数据
clickup	简单的 ClickUp Web 应用程序包装器
cli-dictionary	汉语词典
client-keystone-auth	kubectl 的客户端插件，用于启用 keystone 身份验证。
climage	无需离开终端即可查看照片！
clion	适用于 C 和 C++ 的跨平台 IDE
clipaste	夹子
clipboard	终端的最佳剪贴板管理器
clipboard-synced	该应用程序允许您将剪贴板与另一个操作系统上的任何设备同步。
clip-snap-paint	Linux 上的非官方 Clip Studio Paint 安装程序
clipto	您的私人写作伴侣。
cli-weather	快速 CLI 天气快照
cli-worm	用于命令行的 epub 阅读器
kclock	设置闹钟和计时器、使用秒表并管理世界时钟
clockify-cli	帮助与 Clockfy API 交互
clock-signal	各种 8 位和 16 位家用计算机和控制台的基于 Qt 的模拟器。
clone-windows	精美的动作游戏
cloudcompare	3D点云和网格处理软件
cloud-diff	CloudDiff 是一个用于收集和比较私有云构建工件的工具。
piperswe-cloudflared	Cloudflare Tunnel 和 Cloudflare Access 的命令行客户端
cloud-gaming-demo	Anbox Cloud 云游戏演示
cloudmonkey	Apache CloudStack CLI
cloudplan	简化工作流程和私有云
clouds	在虚拟机中下载、安装并运行 Windows
cloudstats	通过 prometheus-exporter 提供和报告 cloudstats
cloudtag	共享文件，更轻松。
cu-ddns	适用于 VPS 云提供商的动态 DNS 客户端。
clpeak	用于测量 opencl 设备峰值能力的基准测试工具
clrmamepro	优秀的ROM管理工具
clubhouse	会所桌面客户端（非官方）
cluster4x	Cluster4x 对晶体数据集进行分组
cmadison	为 Ubuntu Cloud Archive 提供类似 rmadison 功能的工具
cmake	跨平台软件构建系统生成器
cmvs-mardy	多视图立体的视图分组
cncmaps-renderer	cncmaps-renderer 是一个地图渲染器。
cnpj-company	搜索任何 CNPJ
cntlm-ondra	cntlm 代理验证器
cocmd	协同命令
cocorally-ultimate	令人惊叹的赛车游戏现在适用于 Linux！
codebreakers	猜出密码并解锁 RogueBot Central
codechecker	CodeChecker 是一个分析工具、缺陷数据库和查看器扩展
code	代码编辑。重新定义。
codedoc	代码文档实用程序。
cfcreminder	指标代码强度提醒
code-insiders	代码编辑。重新定义。
codemagic-example	Snapcraft 发布 Codemagic CI/CD 配置示例
codenamelt	一款像素艺术游戏，你必须在不被邪恶特工抓住的情况下奔跑。
codename-nuclear	代号：Nuclear 是一款动作平台冒险游戏
codesearch-cli	Debian 代码搜索 CLI 工具
code-tray	代码托盘
codetree	代码树构建器
cwtlbot-discord	用于 Discord 的 Codewars 训练器链接机器人
codium	代码编辑。重新定义。
codsnipet	用于组织、标记和搜索代码片段的应用程序。
coff-drop	收集所有糖果即可打开下一关的出口
coin3d-realthunder	Coin3D/pivy 具有改进的阴影渲染
coin	零钱包
coinevo-core	基于点对点网络的数字货币
coinpusher	推币游戏，SeaPusher.com
cointop	用于加密货币跟踪的基于交互式终端的 UI 应用程序
colem	ColEm - Colecovision 模拟器
colibri	无需向导即可浏览
colins-classic-cards	卡牌游戏套装
collabee	合作者
college-mastodon	大学乳齿象
collision	一款躲避球的游戏
colmap-mardy	运动结构和多视图立体
colorgrab	从图像中提取颜色的工具
color-match	非常难的游戏，没有奖励
color-picker	适合网页设计师和数字艺术家的颜色选择器和编辑器
colorpie	颜色选择器和转换器
colors-ai	人工智能颜色
colorwall	免费超高清桌面壁纸
command-cb	分组命令、历史命令、短命令标签、可视化管理
commandeer	指挥官
keen	指挥官敏锐共享软件
x16emu	Commander X16 模拟器
morse-converter-py	简单的命令行莫尔斯电码转换器
commix	命令注入浏览器
common-licenses	列出并读取/打印可用通用许可证的 bash 命令
pycompass	Zype 编程语言的官方 CLI。
compass-straightedge	用圆规和尺子构造几何图形
compress-video	减小视频的文件大小。
compressx	简单且最小的图像压缩应用程序
compteursim	计算机对 ping 响应的碰撞模拟。
compuchess	下棋软件
computercontroller	用于控制计算机的软件集
comunik	沟通
confid	利用分子动力学进行构象表征的分析方法
configcat	ConfigCat 的命令行界面
configservicelenovo	R8101调制解调器配置服务
conjure-up	捆绑咒语的运行时间
conn-check	检查服务之间连接的实用程序
connect4	连续第 4 场比赛
kominal-connect	连接
connectron	一个简单的 4 排风格游戏
linux-conquest	多用户游戏 Conquest 的 Linux 客户端
conquest-linux	Ubuntu 版网络多人游戏征服
constl	分布式、开放的科学数据共享系统
