0ad	Forn stríðsleikur í rauntíma
bofh	fáðu BOFH-stíl afsökunar beint til flugstöðvarinnar þinnar!
boggle	Boggle er orðaleikur þar sem þú reynir að búa til eins mörg orð og þú getur. Þetta er textaleikur.
boggle-java	Java útgáfan af Boggle leiknum
boilerplate2	monorepo-mynstur
boilerplate-monorepo	Einlínu lyftuhæð fyrir frábæra skyndimynd þína
boinctasks-js	BoincTasks Js
bolls	hylki
boltstorm	Boltstorm er leikur þróaður á Ludum Dare 34 í 72 klst
bomber	Arcade sprengjuleikur
bomberic2	Frábær hasarleikur
bomberic	Frábær hasarleikur
bombermaaan	Bomberman klón gerð af aðdáanda
bombsquad	sprengjusveit
bomist	SPRENGJA
bongo-boogie	Frábær múrsteinsbrjótur
bonnies-bookstore-dlx	Annar frábær PopCap leikur
bookmark-cd	bcd í merkta möppu
boondocksd	Borgarpúkinn
boondocks-hello-world	Boondocks Hello World app
boop-gtk	Port of IvanMathy's Boop til GTK, forritanlegt klóraborð fyrir forritara.
boostchanger	hvataskipti
bootstack-elasticsearch	Elasticsearch er dreifð RESTful leitar- og greiningarvél
boot-up-time	Smelltu til að athuga ræsingartíma á fartölvum og fartölvum
borger0	Teiknaðu oscillators og umslög.
borger3	Tónagjafi innblásinn af Korg ER-1
borhan	Texti Kóransins og ýmsar þýðingar hans
boringman	Berjist við aðra illa hannaða 2D stickmen á netinu þar sem þú hoppar eins og brjálæðingur og sprengir þig í mola
bbl	BOSH ræsiforritari CLI
bosh-cli	BOSH CLI
bottle	Bitcoin vafri
bottom	Grafískur ferli/kerfisskjár með sérhannaðar viðmóti
bovo	Fimm í röð borðspil
bower	Pakkastjóri fyrir vefinn
bow-webots	BOW Webots er ókeypis 3D vélmenni hermir sem er endurbættur með BOW SDK
boxwallet	BoxWallet er einstakt multi-gjaldmiðla tvöfaldur CLI tól sem setur fljótt upp gjaldmiðilsveskið þitt / hnút að eigin vali með örfáum skipunum
bpytop	Python-undirstaða auðlindaskjár fyrir flugstöðina þína.
brainfuck-shell	Skel sem greinir skipanirnar þínar eins og skítur.
brakeman	Ruby on Rails öryggisveikleika Static Analysis Tool
branch-diff	Berðu saman 2 git greinar án vandræða.
brave	Vafraðu hraðar og öruggari með Brave.
brave-dwarves-bft	Frábær platformer
brave-dwarves	Frábær platformer
breaktimer	Gera hlé á teljara
brickstore	BrickStore - ótengdur BrickLink birgðastjórnunartæki.
bridge-3000	Fínn bridge leikur
bridge-designer	Hönnun hraðbrautarbrúar: Raunhæf kynning á verkfræði
qanda-link	Qanda tengir efni af vefsíðum og PDF skjölum við spurningar og svör
broker	Rauntíma núllkóða API netþjónn
brook	Umboðshugbúnaður á milli palla.
bruno	Brúnó
bsrally	bsrally er Rally + Tempest + refstack próf
bstamp	bstamp samantekt
btcassistant	Einfaldur aðstoðarmaður fyrir Cryptocurrency fjárfesta
btctools	Antminer stjórnunartæki
btc-wallet-tracking	Bitcoin veski mælingar tól
btop-desktop	Auðlindaskjár sem sýnir notkun og tölfræði - skrifborðsútgáfa
btop	Auðlindaskjár sem sýnir notkun og tölfræði
btrfs-progs	Litið á btrfs verkfæri
bubble-bobble-2-hero	Uppfærsla í spilakassaklassíkina
bubble-bobble-nostalgie	Fín uppfærsla á spilakassaklassíkinni
bubble-pop	kúla sprettur leikur og ráðgáta.
bubs-brothers-windows	Fjölspilunaruppfærsla fyrir spilakassaklassíkina
bucklespring	Nostalgia Bucklespring hljómborðshljóð
buffalocounter	Fyrsta skyndiforritið mitt til að prófa.
bug-bounty	Lagaðu allar villur.
bugit	Tól til að senda inn mál til Launchpad og hengja sjálfkrafa upplýsingar um kerfið sem er í prófun.
buka	Rafbókastjórnun og lesandi
bulkurlopener	Einfalt og auðvelt í notkun forrit sem gerir notandanum kleift að opna lista yfir vefslóðir með einum smelli.
bullet-bubby	Bullet Bubby er skotleikur eða að öðrum kosti bullet hell tegund leiks
bullet	Bullet time eðlisfræði bókasafn.
bump	Skipanalína til að uppfæra útgáfuna í git geymslu
bumptag	bumptag er tól til að höggva á útgáfu og búa til git tag með athugasemd.
bundle-lint	Linter fyrir juju pakka eða útsettar gerðir
bundler-mardy	Bundler - Structure from Motion (SfM) fyrir óraðað myndasöfn
bun-js	Brauð
bunjs	Bun er heill og fljótur JavaScript keyrslutími
bunny-forest	Rólegur leikur um kanínur, könnun og leit að gulrótum
bunqdesktop	Óopinbera, ókeypis og opinn uppspretta skrifborðsforritið fyrir bunq API
burdirc	IRC viðskiptavinur
bus-calculator	Strætó reiknivél
butt	butt (streymt með þessu tóli) er auðvelt í notkun streymistól
buzyteam	equipabuzy
buzz	Buzz, hljóðuppskrift án nettengingar og þýðing
buzz-fo	Skrifaðu upp og þýddu hljóð án nettengingar
bw	Bitwarden CLI – Ókeypis, öruggur lykilorðastjóri fyrir öll tæki þín.
byspectra	BySpectra viðskiptavinaforrit
byte-cli	bæti
bytz	BYTZ, stafrænn gjaldmiðill fyrir fjölmiðlaefni
bzflag	3D fyrstu persónu tank bardaga leikur
bzoing	Einfaldar dagatalsviðvörun fyrir skjáborðið þitt
c501checkers	Tímaspil
cacher	veiðimaður
cacto-loco	Geggjaður kaktus! er skotleikur ofan frá og fjallar um bölvaðan mann sem leitar að týndum elskhuga sínum.
cactpot-solver	Tól til að finna bestu valmöguleikana fyrir mini cactpot kort
caddy-hduran	HTTP/2 vefþjónninn með sjálfvirkum HTTPS
cad-pro-instrument	Parasight hljóðfæri fyrir hunda og ketti
caire	Efnismeðvitað myndstærðarsafn
cake-queen	Tímastjórnunarleikur
calaboka	Ad Silencer fyrir Spotify
calander	Terminal dagatal
calindori	Dagatal app
camadapterd	CamAdapter aðalforrit
cameractrls	Háþróuð stýringar á vefmyndavél og myndavél fyrir Linux
camus	Jafningi hópmyndspjall með WebRTC.
candid	Einlægur auðkennisstjóri
can-echo-server	Býr til púka sem endurómar hvaða CAN pakka sem er
caniuse	Caniuse skipanalínuverkfæri
cannonball	Endurbætt OutRun vélin
canonical-doc-utils	verkfæri til að vinna með kanónískar skjalageymslur
canonical-livepatch	Canonical Livepatch viðskiptavinur
canonical-livepatch-server	Livepatch kanónískur þjónn
canonical-se-engineering-tests	Canonical System Activation Engineering Test Cases
cantara	Hugbúnað til að kynna tónlist
canta-themes	Syngur GTK og táknþemu fyrir GTK Snaps
cantor	KDE frontend fyrir stærðfræðilegan hugbúnað
canvasync	CLI til að hlaða niður og skoða strigagögn
caprice32	Amstrad CPC keppinautur
caprine	geit
caprine-dusan	geit
capturegrid4	CaptureGRID 4 fjölmynda tjóðrun app
carbon-player	Fallegur og stílhreinn fjölmiðlaspilari
carcassonne	Fjölspilunarútgáfa af Carcassonne
cardapiozap	CardapioZap
car-distance-finder	Dæmi um fjölþráðan ökutækisspora
careawaretest	samantekt
cariddi	Fljótur vefur rekja spor einhvers og skanni
car-maintenance	Bílaviðhald
carnet	Öflugt minnismiðaforrit með samstillingu, ritli á netinu og Android appi
carnival-jackpot	Hasarleikur
carnival-jackpot-extreme	Hasarleikur
carrier-command	Klassískur rauntíma tæknileikur Carrier Command
cascade-app	Herma // Uppgötvaðu // Áhrif
caselist	Sæktu fordæmi fyrir mál þitt í einu.
cashbox-nextcloud	Nextcloud þjónn fyrir www.cashBOX.plus
casino-sim-95-language-selectable	spilavíti-sim-95-valanlegt tungumál
cass	GUI gagnagrunns
castersoundboard	Hljómborð fyrir flýtihnappa og hljóðspilun. (Fyrir hlaðvarp)
cast-web-api	Stjórnaðu Google Cast tækjunum þínum.
cataclysmdda	Cataclysm: Dark Days Ahead er turn-based survival leikur sem gerist í heimi eftir heimsenda.
cataclysm	Post-apocalyptic survival roguelike
cat-say	Gagnslaust cli tól af kött sem endurtekur það sem þú segir
cavalier	Sýndu hljóð með CAVA
cavoke	Cavoke netleikurinn
cawbird	Cawbird Twitter viðskiptavinur (Corebird gaffal)
cbeams	CLI forrit sem teiknar fallega líflega litaða hringi í flugstöðinni.
cbetar2	電子佛典
cbj-hub	Miðstöð til að stjórna snjalltækjum frá mismunandi söluaðilum með einu forriti.
ccache	Hratt C/C++ þýðanda skyndiminni
cclite	ComputerCraft keppinautur
ccls	C/C++/ObjC tungumálaþjónn
ccomixmanager	Stjórnun í C, GTK og mariadb
cncra2yr	C&C Red Alert 2 Yuri's Revenge er stefnuleikur í rauntíma.
cncra	C&C: Red Alert er stefnuleikur í rauntíma.
cnctsun	C&C: Tiberian Sun er stefnuleikur í rauntíma.
cctv-viewer	Áhorfandi og samsetningarvídeóstraumar
cdbc	C bókasafn sem veitir einföld, auðveld í notkun tengi við ODBC API
cdcat-catalog	Forrit fyrir fjölmiðlaskrá
cdk-addon-mod	Viðbætur fyrir kanóníska Kubernetes dreifingu
cdk-addons	Viðbætur fyrir kanónískar Kubernetes
cdrom	🎵 geisladiskur ást
cecconoid	Gamaldags, 8 bita innblásin tveggja stafa skotleikur með hreyfiskjá...
celebrations-mahjong	Einfaldur og skemmtilegur Mahjong Solitaire leikur
celeste	Samstilltu skrárnar þínar í skýinu
celluloid	Einfaldur GTK+ framhlið fyrir MPV.
celtx	Allt-í-einn forrit til að skrifa handrit
centipede	Klassíski spilakassaleikurinn
certbot	Stilltu HTTPS sjálfkrafa með Let's Encrypt
certbot-dns-aliyun	Viðbót Aliyun DNS Authenticator fyrir Certbot
certbot-dns-azure	Viðbót fyrir Autenticador DNS do Azure fyrir Certbot
certbot-dns-bunny	Plug-in Bunny.net DNS Authenticator fyrir Certbot
certbot-dns-cloudflare-cname	Autenticador DNS Cloudflare með stuðningi CNAME.
certbot-dns-cloudflare	Plug-in Cloudflare DNS Authenticator fyrir Certbot
certbot-dns-cloudxns	Plug-in CloudXNS DNS Authenticator fyrir Certbot
certbot-dns-constellix	Plug-in Certbot DNS fyrir Constellix
certbot-dns-digitalocean	Plug-in DigitalOcean DNS Authenticator fyrir Certbot
certbot-dns-dnsimple	Plug-in DNSimple Autenticador DNS fyrir Certbot
certbot-dns-dnsmadeeasy	Plug-in DNS Made Easy DNS Authenticator fyrir Certbot
certbot-dns-dnspod	Plug-in DNPod DNS Authenticator fyrir Certbot
certbot-dns-duckdns	Plug-in DuckDNS Authenticator fyrir Certbot
certbot-dns-gehirn	Plug-in Gehirn Infrastructure Service DNS Authenticator fyrir Certbot
certbot-dns-google	Google Cloud DNS Authenticator viðbætur fyrir Certbot
certbot-dns-hetzner	Plug-in Hetzner DNS Authenticator fyrir Certbot
certbot-dns-inwx	Plug-in INWX DNS Authenticator fyrir Certbot
certbot-dns-linode	Plug-in Linode DNS Authenticator fyrir Certbot
certbot-dns-luadns	Plug-in LuaDNS Autenticador fyrir Certbot
certbot-dns-multi	Plug-in Certbot DNS com supported and vários provedores
certbot-dns-netcup	Plug-in Certbot DNS Authenticator fyrir netcup
certbot-dns-njalla	Njalla DNS Authenticator Plugin fyrir Certbot
certbot-dns-nsone	NS1 DNS Authenticator Plugin fyrir Certbot
certbot-dns-ovh	OVH DNS Authenticator Plugin fyrir Certbot
certbot-dns-rfc2136	RFC 2136 DNS Authentication Plugin fyrir Certbot
certbot-dns-route53	Route53 DNS Authenticator Plugin fyrir Certbot
certbot-dns-sakuracloud	Sakura Cloud DNS Authenticator Plugin fyrir Certbot
certbot-dns-standalone	Sjálfstætt DNS auðkenningarviðbót fyrir Certbot
certbot-standalone-nfq	Certbot HTTP auðkenningartæki sem virkar með hvaða vefþjóni sem er.
cert-checker	Athugaðu gildi vefsíðuvottorðsins
certstream	Certstream-Python
c-evo	Snúningsbundinn heimsveldisbyggingarleikur innblásinn af leiknum Civilization II.
cf-bbl	Bosh bootloader skipanalínuviðmót
cf-bs	BOSH CLI v2+
cf-ch	CredHub CLI býður upp á skipanalínuviðmót til að hafa samskipti við CredHub netþjóna
cf-cli	Cloudfoundry CLI
cfn-flip	Breytir AWS CloudFormation sniðmátum á milli JSON og YAML sniða.
cfn-format	Snið AWS CloudFormation sniðmát.
cfn-skeleton	Býr til beinagrind AWS CloudFormation sniðmát.
cgoban1	CGoban1 býður upp á mikið safn af Go-tengdri þjónustu fyrir Unix og X11.
chalk	Redmine Time Tracker
chameleon	Chameleon vél
champ	Plex second skjálesari
championship-spades	Leikur sverð
changeln	Búðu til breytingaskrá úr git merkjum
changelog	CLI til að búa til og stjórna Changelog jafnvel í stórum verkefnum
channel-refresh-test	Finndu tungumál sem ekki er innifalið í frumkóðanum þínum
test-channels	Prófa snap sem er með mismunandi útgáfu á hverri rás
chaoban	Chương trình in giữa màn hình dòng chữ Chao ban ten_ban
charlyoleg-pipapo	charlyoleg-pipapo
charm-config	Charm snap tappi til að skoða stillingar heilla í versluninni.
charmcraft	Hið heillandi verkfæri
charm	heilla verkfæri
charmed-openstack-upgrader	Sjálfvirkniverkfæri fyrir Charmed OpenStack uppfærslu
chartgeany	Hugbúnaður fyrir tæknigreiningu
chatgpt-desktop	Fáðu aðgang að ChatGPT hvar sem er og hvenær sem er!
chatgpt-electron	Rafeindaforrit fyrir ChatGPT
chatminal	Chatminal
cheat	svindl gerir þér kleift að búa til og skoða gagnvirk svindlblöð frá skipanalínunni.
checkbox16	Afgreiðslutími gátreitar og opinberir veitendur
checkbox18	Afgreiðslutími gátreitar og opinberir veitendur
checkbox20	Afgreiðslutími gátreitar og opinberir veitendur
checkbox22	Afgreiðslutími gátreitar og opinberir veitendur
checkbox-desktop-snaps	Gátreitarprófanir til að prófa skjáborðssnaps
checkbox	Gátreitur Prófhlaupari
checkbox-kivu-classic	Gátreitarpróf fyrir Kivu Classic verkefnið
checkbox-mir	Gátreitarpróf fyrir Mir verkefnið
checkbox-plano-classic	Gátreitur prófunarhlaupari fyrir Plano klassískt verkefni
checkbox-provider-tools	Gátreitur veituverkfæri
checkbox-tpu-tools	Einföld prófun til að nota TPU
check-journal	Nagios/Icinga samhæft viðbót fyrir journalctl
check-sieve	Syntax checker fyrir póstsíumenn
checkson	Skipanalínuviðmót til að hafa samskipti við checkson.io
checksum-validator	Checksum Validator
cheerlightstree	Sýndu jólatré upplýst með glaumljósum!
cheese	Taktu myndir og taktu upp myndbönd með vefmyndavélinni þinni, með skemmtilegum grafískum áhrifum
cheminot	Námskeiðsskráning og samráðskerfi
cherry-dice	RPG teningakastari
cherrytree	Stigveldisforrit til að taka minnispunkta
chessmaster-10th-edition-demo	10. útgáfa af þessu frábæra skákveldi
chess-tactics-and-strategy	Skákþjálfunaráætlun. Inniheldur taktík, opnanir, endir, þrautir osfrv.
chezmoi	Hafðu umsjón með punktaskrám þínum á mörgum vélum á öruggan hátt.
chiaki	Ókeypis og opinn hugbúnaður fyrir PlayStation Remote Play
chicken-shoot	kjúklingaskot
chimpstackr	Ókeypis fókus stöflun hugbúnaður
chinadns	Verndaðu þig gegn DNS eitrun
chinese-cal	kínverskt dagatal
chip8-emulator	CHIP-8 keppinautur
chip-tool	Chip Tool Matter Controller
chirp-snap	CHIRP er ókeypis og opinn hugbúnaður til að forrita skinkuútvarpið þitt.
chisurf	Fluorescence Data Analysis Tool
chizuru-testsnap	snapcraft próf eftir Chizuru S.
chocolate-doom-jdstrand	Súkkulaði Doom vél
chrome-log-beautifier	Gagnvirkt notendaviðmót til að greina Chrome annála.
chromeos-themes	ChromeOS GTK þemu fyrir GTK Snaps
chromium	Chromium vafri, opinn uppspretta útgáfa af Chrome
chromium-ffmpeg	FFmpeg merkjamál (ókeypis og séreignar) til notkunar fyrir þriðju aðila vaframyndir
chronopsi	Tímabundin ráðning fyrir EPSI/WIS nemendur.
chucknorris	Chuck Norris brandarar
chuck-norris-webserver-classic	Chuck Norris vitna í nodejs netþjón
chuck-norris-webserver	Chuck Norris vitna í nodejs netþjón
chunk-nordic	Önnur TCP göng yfir HTTP(S).
ci-dice	Console gagnavalsverkfæri fyrir CI pass/fail uppgerð
cidr-calc	Einföld CIDR netreiknivél til að hjálpa þér að reikna IPv4 undirnetsgrímur.
circleci	Keyrðu staðbundnar CI-smíðar og staðfestu stillingarnar.
circluzzle	Hringlaga
cirkit-designer	Hringrásarhönnuður
ci-testing	HTTP skráaþjónusta og URL styttri
citra-emu	Nintendo 3DS keppinautur
cityhub	Miðbær
civo	CLI fyrir Civo Cloud
cjp256-openvino-samples	Intel OpenVINO Toolkit sýnishorn
cjp256-openvino-super-resolution	Intel OpenVINO Toolkit Super Resolution Dæmi
cjp256-openvino-toolkit-1804	Intel OpenVINO Toolkit
ckafka	Kafka framleiðandi CLI
ckan	KSP sjálfvirkur uppsetningarforrit
ckermit-raymii	C-Kermit er samsettur hugbúnaðarpakki fyrir netkerfi og raðsamskipti
claat	Codelabs skipanalínuverkfæri
cla-check	Staðfestu að leyfissamningur Canonical Contributor hafi verið undirritaður
clangd	Samskiptareglur fyrir tungumálaþjóna fyrir C/C++ IDE
clapper	Einfaldur og nútímalegur GNOME fjölmiðlaspilari
clari3d-lite-64	Velkomin í Clari3D Lite aðaluppsetningarpakkann.
clashcross	ClashCross er proxy kembiforrit byggt á Clash kjarna.
clash	Áfall; Haskell þýðandi fyrir HDL
gpro	Hafa umsjón með keppnisliði þínu, ökumanni og bíl, undirbúið stillingar og aðferðir fyrir hverja keppni, greindu fjarmælingar keppninnar.
csnaketerm	Klassíski Snake leikurinn, beint á flugstöðina þína
classic-snap-analyzer	Greindu klassíska skyndiframkvæmd fyrir pökkunarvandamál
classicube	ClassiCube er sérsniðinn viðskiptavinur sem er samhæfður Minecraft Classic
classroom-clock-app	kennslustofuklukka app
claws-mail-moon127	Klóapóstur
clean-filter-for-svg	Hrein sía til að fjarlægja óþarfa lýsigögn í SVG
cleanpy	CLI skipun til að fjarlægja skyndiminni skrár og tímabundnar skrár tengdar Python
clementine	nútíma tónlistarspilari
clera	Sprengir flugstöðina þína
clever	Notaðu CLEVER til að búa til lýsigögn flutningsstraums
clickup	Einföld ClickUp vefforritaumbúðir
cli-dictionary	cli-orðabók
client-keystone-auth	Viðskiptavinaviðbót fyrir kubectl til að virkja keystone auðkenningu.
climage	Skoðaðu myndir án þess að fara út úr flugstöðinni!
clion	Þverpalla IDE fyrir C og C++
clipaste	bút
clipboard	Besti klemmuspjaldstjórinn fyrir flugstöðina
clipboard-synced	Forrit sem gerir þér kleift að samstilla klemmuspjaldið þitt við hvaða tæki sem er á öðru stýrikerfi.
clip-snap-paint	Óopinber Clip Studio Paint Installer á Linux
clipto	Persónulegur ritfélagi þinn.
cli-weather	Fljótleg CLI veðurmynd
cli-worm	epub lesandi fyrir skipanalínuna
kclock	Stilltu vekjara og teljara, notaðu skeiðklukku og stjórnaðu heimsklukkum
clockify-cli	Hjálpar til við að hafa samskipti við Clockfy API
clock-signal	Qt-undirstaða hermir af ýmsum 8- og 16-bita heimilistölvum og leikjatölvum.
clone-windows	Fallegur hasarleikur
cloudcompare	3D punktský og möskvavinnsluhugbúnaður
cloud-diff	CloudDiff er tól til að safna og bera saman einkaskýjasmíðagripi.
piperswe-cloudflared	Skipanalínubiðlarinn fyrir Cloudflare Tunnel og Cloudflare Access
cloud-gaming-demo	Cloud Gaming Demo fyrir Anbox Cloud
cloudmonkey	Apache CloudStack CLI
cloudplan	Einfaldaðu verkflæði og einkaský
clouds	Hladdu niður, settu upp og keyrðu Windows í VM
cloudstats	útvega og tilkynna skýjatölur í gegnum prometheus-exporter
