0ad	古代戰爭即時策略遊戲
bw	Bitwarden CLI – 適用於所有裝置的免費、安全的密碼管理器。
byspectra	BySpectra 用戶端應用程式
byte-cli	位元組
bytz	BYTZ，媒體內容的數位貨幣
bzflag	一款3D第一人稱戰車大戰遊戲
bzoing	適用於桌面的簡單日曆鬧鐘
c501checkers	跳棋遊戲
cacher	獵人
cacto-loco	瘋狂的仙人掌！是一款自上而下的射擊遊戲，講述了一個被詛咒的男人尋找他失去的愛人的故事。
cactpot-solver	尋找最佳迷你仙人掌卡選項的工具
caddy-hduran	具有自動 HTTPS 功能的 HTTP/2 Web 伺服器
cad-pro-instrument	狗和貓的準瞄準器
caire	內容感知影像調整大小庫
cake-queen	時間管理遊戲
calaboka	Spotify 的廣告消音器
calander	終端壓光機
calindori	日曆應用程式
camadapterd	CamAdapter主要應用
cameractrls	適用於 Linux 的高級網路攝影機和攝影機控制
camus	使用 WebRTC 進行點對點群組視訊聊天。
candid	真誠的身份經理
can-echo-server	建立一個守護程序來回顯任何收到的 CAN 資料包
caniuse	Caniuse 命令列工具
cannonball	改進的 OutRun 引擎
canonical-doc-utils	使用規範文檔儲存庫的工具
canonical-livepatch	Canonical Livepatch 用戶端
canonical-livepatch-server	Livepatch 規範伺服器
canonical-se-engineering-tests	規格系統啟動工程測試用例
cantara	一款音樂簡報軟體
canta-themes	演唱 GTK 和 GTK Snap 的圖示主題
cantor	數學軟體的 KDE 前端
canvasync	用於下載和查看 Canvas 資料的 CLI
caprice32	Amstrad CPC 模擬器
caprine	山羊
caprine-dusan	山羊
capturegrid4	CaptureGRID 4 多相機網路分享應用程式
carbon-player	美麗時尚的媒體播放器
carcassonne	卡爾卡鬆的多人遊戲版本
cardapiozap	卡達皮奧札普
car-distance-finder	多線程車輛追蹤器的範例
careawaretest	概括
cariddi	快速網路追蹤器和掃描儀
car-maintenance	汽車保養
carnet	功能強大的筆記應用程序，帶有同步功能、線上編輯器和 Android 應用程式
carnival-jackpot	動作遊戲
carnival-jackpot-extreme	動作遊戲
carrier-command	經典即時戰略遊戲《航空母艦指揮》
cascade-app	模擬 // 發現 // 影響
caselist	立即下載適合您案件的先例。
cashbox-nextcloud	www.cashBOX.plus 的 Nextcloud 伺服器
casino-sim-95-language-selectable	Casino-sim-95-可選語言
cass	資料庫圖形使用者介面
castersoundboard	用於熱鍵和聲音播放的音板。 （用於播客）
cast-web-api	控制您的 Google Cast 裝置。
cataclysmdda	Cataclysm: Dark Days Ahead 是一款以末日後世界為背景的回合製生存遊戲。
cataclysm	後世界末日求生 Roguelike
cat-say	無用的 cli 工具，一隻貓重複你所說的話
cavalier	使用 CAVA 可視化音頻
cavoke	Cavoke網路遊戲
cawbird	Cawbird Twitter 用戶端（Corebird 分叉）
cbeams	一個 CLI 程序，可以在終端中繪製精美的動畫彩色圓圈。
cbetar2	電子佛典
cbj-hub	透過一個應用程式控制來自不同供應商的智慧型裝置的集線器。
ccache	快速 C/C++ 編譯器緩存
cclite	ComputerCraft 模擬器
ccls	C/C++/ObjC 語言伺服器
ccomixmanager	C、GTK 和 mariadb 管理
cncra2yr	《命令與征服紅色警戒2尤里的復仇》是一款即時戰略遊戲。
cncra	《命令與征服：紅色警戒》是一款即時戰略遊戲。
cnctsun	《命令與征服：泰伯利亞之日》是一款即時戰略遊戲。
cctv-viewer	檢視器和彙編器視訊串流
cdbc	C 庫，為 ODBC API 提供簡單、易於使用的接口
cdcat-catalog	媒體目錄計劃
cdk-addon-mod	規範 Kubernetes 發行版的附加元件
cdk-addons	規範 Kubernetes 的附加元件
cdrom	🎵 CDROM 愛
cecconoid	一款老式的 8 位雙搖桿射擊遊戲，帶有動態螢幕...
celebrations-mahjong	一款簡單又有趣的麻將接龍遊戲
celeste	在雲端同步您的文件
celluloid	適用於 MPV 的簡單 GTK+ 前端。
celtx	多合一腳本編寫應用程式
centipede	經典街機遊戲
certbot	使用 Let's Encrypt 自動設定 HTTPS
certbot-dns-aliyun	Certbot 外掛程式 Aliyun DNS Authenticator
certbot-dns-azure	Azure 的 Certbot 的 Autenticador DNS 插件
certbot-dns-bunny	Certbot 外掛程式 Bunny.net DNS 驗證器
certbot-dns-cloudflare-cname	DNS 驗證器 Cloudflare com 支援 CNAME。
certbot-dns-cloudflare	Certbot 外掛程式 Cloudflare DNS Authenticator
certbot-dns-cloudxns	Certbot 外掛程式 CloudXNS DNS Authenticator
certbot-dns-constellix	Constellix 的外掛程式 Certbot DNS
certbot-dns-digitalocean	Certbot 外掛程式 DigitalOcean DNS Authenticator
certbot-dns-dnsimple	Certbot 的 DNSimple Autenticador DNS 插件
certbot-dns-dnsmadeeasy	外掛程式 DNS Made Easy DNS Authenticator para Certbot
certbot-dns-dnspod	Certbot 外掛程式 DNSPod DNS 驗證器
certbot-dns-duckdns	Certbot 外掛程式 DuckDNS Authenticator
certbot-dns-gehirn	Certbot 外掛程式 Gehirn 基礎架構服務 DNS 驗證器
certbot-dns-google	Certbot 外掛程式 Google Cloud DNS 驗證器
certbot-dns-hetzner	Certbot 外掛程式 Hetzner DNS Authenticator
certbot-dns-inwx	Certbot 外掛程式 INWX DNS Authenticator
certbot-dns-linode	Certbot 外掛程式 Linode DNS Authenticator
certbot-dns-luadns	Certbot 外掛 LuaDNS Autenticador
certbot-dns-multi	外掛程式 Certbot DNS com 支援各種驗證者
certbot-dns-netcup	Netcup 外掛程式 Certbot DNS 驗證器
certbot-dns-njalla	適用於 Certbot 的 Njalla DNS 驗證器插件
certbot-dns-nsone	適用於 Certbot 的 NS1 DNS 驗證器插件
certbot-dns-ovh	適用於 Certbot 的 OVH DNS 驗證器插件
certbot-dns-rfc2136	適用於 Certbot 的 RFC 2136 DNS 驗證插件
certbot-dns-route53	適用於 Certbot 的 Route53 DNS 驗證器插件
certbot-dns-sakuracloud	適用於 Certbot 的 Sakura Cloud DNS 驗證器插件
certbot-dns-standalone	Certbot 的獨立 DNS 驗證插件
certbot-standalone-nfq	Certbot HTTP 驗證器可與任何 Web 伺服器搭配使用。
cert-checker	檢查網站證書的有效性
certstream	Certstream-Python
c-evo	一款回合製帝國建設遊戲，靈感源自遊戲《文明 II》。
cf-bbl	Bosh 引導程式命令列介面
cf-bs	BOSH CLI v2+
cf-ch	CredHub CLI 提供用於與 CredHub 伺服器互動的命令列介面
cf-cli	Cloudfoundry CLI
cfn-flip	在 JSON 和 YAML 格式之間轉換 AWS CloudFormation 範本。
cfn-format	設定 AWS CloudFormation 範本的格式。
cfn-skeleton	產生骨架 AWS CloudFormation 範本。
cgoban1	CGoban1 為 Unix 和 X11 提供了大量與 Go 相關的服務。
chalk	Redmine 時間追蹤器
chameleon	變色龍引擎
champ	Plex 第二螢幕閱讀器
championship-spades	劍的遊戲
changeln	從 git 標籤產生變更日誌
changelog	即使在大型專案中也可以使用 CLI 建立和管理變更日誌
channel-refresh-test	偵測原始碼中的非包含性語言
test-channels	每個通道上都有不同版本的測試快照
chaoban	Chương trình in giữa màn hình dòng chữ Chao ban ten_ban
charlyoleg-pipapo	查理約勒格-皮帕波
charm-config	Charm snap 外掛程式用於查看商店中超級按鈕的配置。
charmcraft	迷人的工具
charm	魅力工具
charmed-openstack-upgrader	Charmed OpenStack 升級自動化工具
chartgeany	技術分析軟體
chatgpt-desktop	隨時隨地造訪 ChatGPT！
chatgpt-electron	ChatGPT 的 Electron 應用程式
chatminal	查特米納爾
cheat	cheat 可讓您從命令列建立和查看互動式備忘單。
checkbox16	複選框運行時和公共提供程序
checkbox18	複選框運行時和公共提供程序
checkbox20	複選框運行時和公共提供程序
checkbox22	複選框運行時和公共提供程序
checkbox-desktop-snaps	用於測試桌面快照的複選框測試
checkbox	複選框測試運行程序
checkbox-kivu-classic	Kivu Classic 專案的複選框測試
checkbox-mir	Mir 專案的複選框測試
checkbox-plano-classic	Plano 經典專案的複選框測試運行器
checkbox-provider-tools	複選框提供者工具
checkbox-tpu-tools	使用 TPU 的簡單測試快照
check-journal	用於journalctl的Nagios/Icinga相容插件
check-sieve	郵件篩選器的語法檢查器
checkson	用於與 checkson.io 互動的命令列介面
checksum-validator	校驗和驗證器
cheerlightstree	展示一棵用歡呼燈點亮的聖誕樹！
cheese	使用網路攝影機拍攝照片和錄製視頻，並享受有趣的圖形效果
cheminot	課程報名及諮詢系統
cherry-dice	角色扮演骰子滾軸
cherrytree	分層筆記應用程式
chessmaster-10th-edition-demo	這個偉大的國際象棋系列的第十版
chess-tactics-and-strategy	國際象棋訓練計劃。包括戰術、開局、結局、謎題等。
chezmoi	安全地管理多台電腦上的點檔案。
chiaki	適用於 PlayStation Remote Play 的免費開源用戶端
chicken-shoot	小雞射擊
chimpstackr	免費焦點堆疊軟體
chinadns	保護自己免受 DNS 中毒
chinese-cal	中國日曆
chip8-emulator	CHIP-8 模擬器
chip-tool	晶片工具物質控制器
chirp-snap	CHIRP 是一個免費的開源工具，用於對業餘無線電進行程式設計。
chisurf	螢光數據分析工具
chizuru-testsnap	由 Chizuru S 進行的 snapcraft 測試
chocolate-doom-jdstrand	巧克力末日引擎
chrome-log-beautifier	用於分析 Chrome 日誌的互動式終端 UI。
chromeos-themes	GTK Snap 的 ChromeOS GTK 主題
chromium	Chromium 瀏覽器，Chrome 的開源版本
chromium-ffmpeg	供第三方瀏覽器 snap 使用的 FFmpeg 編解碼器（免費和專有）
chronopsi	EPSI/WIS 學生的臨時就業。
chucknorris	查克諾里斯笑話
chuck-norris-webserver-classic	Chuck Norris 引用 Nodejs 伺服器
chuck-norris-webserver	Chuck Norris 引用 Nodejs 伺服器
chunk-nordic	HTTP(S) 上的另一個 TCP 隧道。
ci-dice	用於 CI 通過/失敗模擬的控制台資料滾動工具
cidr-calc	一個簡單的 CIDR 網路計算器，可協助您計算 IPv4 子網路遮罩。
circleci	運行本地 CI 建置並驗證配置。
circluzzle	圓
cirkit-designer	電路套件設計師
ci-testing	HTTP 檔案服務和 URL 縮短器
citra-emu	任天堂 3DS 模擬器
cityhub	城市中心
civo	Civo 雲端的 CLI
cjp256-openvino-samples	英特爾 OpenVINO 工具套件範例
cjp256-openvino-super-resolution	英特爾 OpenVINO 工具套件超解析度範例
cjp256-openvino-toolkit-1804	英特爾 OpenVINO 工具套件
ckafka	卡夫卡生產者 CLI
ckan	KSP 自動模組安裝程序
ckermit-raymii	C-Kermit 是一個組合的網路和串列通訊軟體包
claat	Codelabs 命令列工具
cla-check	驗證是否已簽署 Canonical 貢獻者授權協議
clangd	C/C++ IDE 的語言伺服器協定實現
clapper	簡單而現代的 GNOME 媒體播放器
clari3d-lite-64	歡迎使用 Clari3D Lite 主安裝包。
clashcross	ClashCross 是一個基於 Clash 核心建構的代理調試應用程式。
clash	震驚; HDL 的 Haskell 編譯器
gpro	管理您的賽車隊、車手和賽車，為每場比賽準備設定和策略，分析比賽遙測數據。
csnaketerm	經典的貪吃蛇遊戲，直接到您的終端
classic-snap-analyzer	分析經典快照執行的打包問題
classicube	ClassiCube 是與 Minecraft Classic 相容的自訂用戶端
classroom-clock-app	教室時鐘應用程式
claws-mail-moon127	爪郵件
clean-filter-for-svg	一個乾淨的過濾器，用於刪除 SVG 中不必要的元數據
cleanpy	用於刪除與 Python 相關的快取檔案和暫存檔案的 CLI 命令
clementine	現代音樂播放器
clera	爆炸你的終端
clever	使用 CLEVER 產生傳輸流元數據
clickup	簡單的 ClickUp Web 應用程式包裝器
cli-dictionary	漢語詞典
client-keystone-auth	kubectl 的用戶端插件，用於啟用 keystone 身份驗證。
climage	無需離開終端即可查看照片！
clion	適用於 C 和 C++ 的跨平台 IDE
clipaste	夾子
clipboard	終端的最佳剪貼簿管理器
clipboard-synced	該應用程式可讓您將剪貼簿與另一個作業系統上的任何裝置同步。
clip-snap-paint	Linux 上的非官方 Clip Studio Paint 安裝程序
clipto	您的私人寫作伴侶。
cli-weather	快速 CLI 天氣快照
cli-worm	用於命令列的 epub 閱讀器
kclock	設定鬧鐘和計時器、使用秒錶並管理世界時鐘
clockify-cli	幫助與 Clockfy API 交互
clock-signal	各種 8 位元和 16 位元家用電腦和控制台的基於 Qt 的模擬器。
clone-windows	精美的動作遊戲
cloudcompare	3D點雲和網格處理軟體
cloud-diff	CloudDiff 是用於收集和比較私有雲建置工件的工具。
piperswe-cloudflared	Cloudflare Tunnel 和 Cloudflare Access 的命令列客戶端
cloud-gaming-demo	Anbox Cloud 雲端遊戲展示
cloudmonkey	Apache CloudStack CLI
cloudplan	簡化工作流程和私有雲
clouds	在虛擬機器中下載、安裝並執行 Windows
cloudstats	透過 prometheus-exporter 提供和報告 cloudstats
cloudtag	共享文件，更輕鬆。
cu-ddns	適用於 VPS 雲端供應商的動態 DNS 用戶端。
clpeak	用於測量 opencl 設備峰值能力的基準測試工具
clrmamepro	優秀的ROM管理工具
clubhouse	會所桌面客戶端（非官方）
cluster4x	Cluster4x 將晶體資料集進行分組
cmadison	為 Ubuntu Cloud Archive 提供類似 rmadison 功能的工具
cmake	跨平台軟體建構系統產生器
cmvs-mardy	多視圖立體的視圖分組
cncmaps-renderer	cncmaps-renderer 是一個地圖渲染器。
cnpj-company	搜尋任何 CNPJ
cntlm-ondra	cntlm 代理驗證器
cocmd	協同命令
cocorally-ultimate	令人驚嘆的賽車遊戲現在適用於 Linux！
codebreakers	猜出密碼並解鎖 RogueBot Central
codechecker	CodeChecker 是一個分析工具、缺陷資料庫和檢視器擴展
code	程式碼編輯。重新定義。
codedoc	程式碼文檔實用程式。
cfcreminder	指標代碼強度提醒
code-insiders	程式碼編輯。重新定義。
codemagic-example	Snapcraft 發布 Codemagic CI/CD 配置範例
codenamelt	像素藝術遊戲，你必須在不被邪惡特工抓住的情況下奔跑。
codename-nuclear	代號：Nuclear 是一款動作平台冒險遊戲
codesearch-cli	Debian 程式碼搜尋 CLI 工具
code-tray	代碼托盤
codetree	程式碼樹建構器
cwtlbot-discord	用於 Discord 的 Codewars 訓練器連結機器人
codium	程式碼編輯。重新定義。
codsnipet	用於組織、標記和搜尋程式碼片段的應用程式。
coff-drop	收集所有糖果即可打開下一關的出口
coin3d-realthunder	Coin3D/pivy 具有改進的陰影渲染
coin	零錢包
coinevo-core	基於點對點網路的數位貨幣
coinpusher	推幣遊戲，SeaPusher.com
cointop	用於加密貨幣追蹤的基於互動終端的 UI 應用程式
colem	ColEm - Colecovision 模擬器
colibri	無需嚮導即可瀏覽
colins-classic-cards	卡牌遊戲套裝
collabee	合作者
college-mastodon	大學乳齒象
collision	一款躲避球的遊戲
colmap-mardy	運動結構和多視圖立體
colorgrab	從影像中提取顏色的工具
color-match	非常難的遊戲，沒有獎勵
color-picker	適合網頁設計師和數位藝術家的顏色選擇器和編輯器
colorpie	顏色選擇器和轉換器
colors-ai	人工智慧顏色
colorwall	免費超高清桌面桌布
command-cb	分組命令、歷史命令、短命令標籤、視覺化管理
commandeer	指揮官
keen	指揮官敏銳共享軟體
x16emu	Commander X16 模擬器
morse-converter-py	簡單的命令列莫爾斯電碼轉換器
commix	命令注入瀏覽器
common-licenses	列出並讀取/列印可用通用許可證的 bash 命令
pycompass	Zype 程式語言的官方 CLI。
compass-straightedge	用圓規和尺子構造幾何圖形
compress-video	減小影片的檔案大小。
compressx	簡單且最小的圖像壓縮應用程式
compteursim	電腦對 ping 回應的碰撞模擬。
compuchess	下棋軟體
computercontroller	用於控制電腦的軟體集
comunik	溝通
confid	利用分子動力學進行構象表徵的分析方法
configcat	ConfigCat 的命令列介面
configservicelenovo	R8101調變解調器設定服務
conjure-up	捆綁咒語的運行時間
conn-check	檢查服務之間連接的實用程式
connect4	連續第 4 場比賽
kominal-connect	連接
connectron	一個簡單的 4 排風格遊戲
linux-conquest	多用戶遊戲 Conquest 的 Linux 用戶端
conquest-linux	Ubuntu 版網路多人遊戲征服
